cpu_name,num_sockets,cores,price,cpu_mark,cpu_value,thread_mark,thread_value,tdp,power_perf,test_date,socket,category
Mediatek MT6739W,1,4,,251,,103,,,,Apr 2025,Unknown,Mobile/Embedded
MT8161AB,1,4,,700,,285,,,,Apr 2025,Unknown,Mobile/Embedded
QTI SM6650,1,8,,"5,972",,"1,178",,,,Apr 2025,Unknown,Mobile/Embedded
Qualcomm Snapdragon 808  8992 ,1,6,,720,,173,,,,Apr 2025,Unknown,Unknown
sc8830,1,4,,438,,295,,,,Apr 2025,Unknown,Mobile/Embedded
Allwinner A733,1,8,,"3,109",,"1,330",,,,Mar 2025,Unknown,Mobile/Embedded
AMD EPYC 9175F,1,16,4256.00,"65,792",15.46,"4,271",1.00,320,205.60,Mar 2025,SP5,Server
[Dual CPU] AMD EPYC 9175F,2,16,8512.00,"100,968",11.86,"3,702",,320,,Mar 2025,SP5,Server
[Dual CPU] AMD EPYC 9V94,2,128,,"83,538",,"1,902",,,,Mar 2025,SP5,Server
AMD Ryzen 5 7400F,1,6,,"25,607",,"3,642",,65,393.96,Mar 2025,AM5 (LGA 1718),Desktop
AMD Ryzen 5 9600,1,6,463.56,"28,736",61.99,"4,287",9.25,65,442.10,Mar 2025,AM5,Desktop
AMD Ryzen 9 9900X3D,1,12,539.99,"56,154",103.99,"4,646",8.60,120,467.95,Mar 2025,AM5,Desktop
AMD Ryzen 9 9950X3D,1,16,638.00,"70,255",110.12,"4,737",7.42,170,413.26,Mar 2025,AM5,Desktop
AMD Ryzen AI Max 385,1,8,,"18,441",,"2,056",,55,335.30,Mar 2025,FP11,"Desktop, Laptop"
AMD Ryzen AI Max 390,1,12,,"42,429",,"4,025",,55,771.43,Mar 2025,FP11,"Desktop, Laptop"
AMD Ryzen Z2 Go,1,4,,"12,043",,"3,116",,28,430.10,Mar 2025,Unknown,Mobile/Embedded
Apple A16,1,5,,"10,033",,"4,072",,,,Mar 2025,Unknown,Mobile/Embedded
Apple M3 Ultra 28 Core,1,28,,"68,805",,"5,141",,,,Mar 2025,Unknown,Desktop
Apple M3 Ultra 32 Core,1,32,,"73,785",,"5,106",,,,Mar 2025,Unknown,Desktop
ARM CIX P1 CD8180 7 Core 2500 MHz,1,7,,"5,505",,"1,395",,,,Mar 2025,Unknown,Unknown
ARM Cortex A53 4 Core 1416 MHz,1,4,,468,,203,,,,Mar 2025,Unknown,Unknown
ARM Cortex A55 4 Core 2208 MHz,1,4,,798,,368,,,,Mar 2025,Unknown,Unknown
ARM Cortex A78 4 Core 1958 MHz,1,4,,"3,150",,"1,474",,,,Mar 2025,Unknown,Unknown
Hygon C86 4G  OPN:3490 ,1,16,,"21,378",,"1,760",,,,Mar 2025,Unknown,Unknown
Intel Celeron G5900E @ 3.20GHz,1,2,53.00,"1,809",34.13,"1,896",35.76,58,31.19,Mar 2025,LGA 1200,Mobile/Embedded
Intel Core i3 12300HL,1,8,,"20,321",,"3,586",,45,451.58,Mar 2025,FCLGA1700,Mobile/Embedded
Intel Core Ultra 5 225T,1,10,,"25,358",,"4,348",,35,724.51,Mar 2025,FCLGA1851,Desktop
Intel Core Ultra 7 265F,1,20,264.99,"48,349",182.46,"4,717",17.80,65,743.83,Mar 2025,FCLGA1851,Desktop
Intel Pentium G3460T @ 3.00GHz,1,2,,"2,036",,"1,674",,35,58.17,Mar 2025,FCLGA1150,Desktop
Intel Pentium Gold 8500,1,5,,"5,652",,"2,714",,9,628.05,Mar 2025,FCBGA1781,Mobile/Embedded
Intel Xeon 6517P,1,16,1195.00,"49,572",41.48,"3,481",2.91,190,260.90,Mar 2025,FCLGA4710,Server
[Dual CPU] Intel Xeon 6760P,2,64,,"153,187",,"3,214",,330,,Mar 2025,FCLGA4710,Server
Intel Xeon Gold 6554S,1,36,2974.99,"50,777",17.07,"1,802",0.61,270,188.06,Mar 2025,FCLGA4677,Server
[Dual CPU] Intel Xeon Gold 6554S,2,36,5949.98,"108,431",18.22,"3,269",,270,,Mar 2025,FCLGA4677,Server
Intel Xeon Phi 7290 @ 1.50GHz,1,72,3213.00,"17,839",5.55,485,0.15,245,72.81,Mar 2025,SVLCLGA3647,Server
[Dual CPU] Intel Xeon Platinum 8170M @ 2.10GHz,2,26,,"42,425",,"1,664",,165,,Mar 2025,FCLGA3647,Server
Intel Xeon Platinum 8581C @ 2.30GHz,1,2,,"8,040",,"3,258",,,,Mar 2025,Unknown,Server
Intel Xeon w3 2535,1,10,,"35,270",,"3,614",,185,190.65,Mar 2025,Unknown,Unknown
Intel Xeon w5 3525,1,16,1339.00,"49,190",36.74,"3,781",2.82,290,169.62,Mar 2025,FCLGA4677,Server
Intel Xeon w5 3535X,1,20,1884.64,"54,276",28.80,"3,813",2.02,300,180.92,Mar 2025,FCLGA4677,Server
Intel Xeon w7 2595X,1,26,2039.00,"65,364",32.06,"3,693",1.81,250,261.46,Mar 2025,FCLGA4677,Server
Qualcomm QCS5430,1,8,,"3,729",,"1,098",,,,Mar 2025,Unknown,Unknown
