videocard_name,price,g3d_mark,videocard_value,g2d_mark,tdp,power_perf,vram,test_date,category
RTX PRO 1000 Blackwell Generation Laptop GPU,,"16,400",,778,,,,Apr 2025,Mobile
RadeonT Ryzen 3 3250U,,582,,226,,,,Apr 2025,Desktop
Radeon Vega 8 Ryzen 5 3500C,,"1,410",,388,,,,Apr 2025,Desktop
Radeon Ryzen 5 7533HS,,"3,523",,650,,,,Apr 2025,Desktop
Radeon RX Vega Ryzen 5 5600GT,,"9,558",,"1,042",,,,Apr 2025,Desktop
Radeon RX Vega 11 Ryzen 5 3350GE,,"2,480",,499,,,,Apr 2025,Desktop
Radeon Eng Sample: 100 000000146 20_37 30_Y,,"2,124",,612,,,,Apr 2025,Desktop
Radeon 840M,,"3,914",,883,,,,Apr 2025,Mobile
nVidia L20,,"13,430",,"1,397",,,,Apr 2025,Desktop
L40S 48Q,,"3,869",,78,,,,Apr 2025,Desktop
L40S 24Q,,"4,036",,85,,,,Apr 2025,Desktop
GRID V100 16Q,,"1,272",,31,,,,Apr 2025,Desktop
GRID RTX6000 8Q,,"4,514",,102,,,,Apr 2025,Desktop
GeForce RTX 5070 Ti Laptop GPU,,"24,004",,981,60,400.06,12288,Apr 2025,Mobile
GeForce RTX 5070 Laptop GPU,,"20,355",,896,50,407.11,8192,Apr 2025,Mobile
GeForce RTX 5060 Ti 8GB,379.99,"22,670",59.66,"1,207",180,125.94,8192,Apr 2025,Desktop
GeForce RTX 5060 Ti 16GB,429.99,"22,921",53.31,"1,215",180,127.34,16384,Apr 2025,Desktop
EIZO Quadro MED XN31LP,,"1,648",,573,,,,Apr 2025,Desktop
A16 16Q,,"4,451",,76,,,,Apr 2025,Desktop
XiaoMi 9 Adreno 640 GPU,,585,,213,,,,Mar 2025,Desktop
Radeon Ryzen Z2 Go,,"5,005",,739,,,,Mar 2025,Desktop
Radeon RX Vega Ryzen 7 5825U,,"2,916",,549,,,,Mar 2025,Desktop
Radeon RX 9070 XT,719.99,"26,795",37.22,"1,328",304,88.14,16384,Mar 2025,Desktop
Radeon RX 9070,669.99,"25,381",37.88,"1,280",220,115.37,16384,Mar 2025,Desktop
Radeon RX 5700m 8GB 256 bit Ryzen 5 5600U,,"1,599",,560,,,,Mar 2025,Desktop
Radeon Pro W6900X,,"17,413",,782,,,,Mar 2025,Desktop
Radeon Eng Sample: 100 000000144 40_38 38_Y,,"1,659",,563,,,,Mar 2025,Desktop
Radeon Eng Sample: 100 000000098 40_39 27_Y,,"1,743",,525,,,,Mar 2025,Desktop
Radeon 680M Ryzen 9 6900HX,,"5,614",,947,,,,Mar 2025,Mobile
Radeon 660M Ryzen 3 7335U,,"2,248",,739,,,,Mar 2025,Mobile
Moore Threads MTT S80,,"2,513",,846,,,,Mar 2025,Desktop
Intel Arc A380E,,"6,438",,793,,,,Mar 2025,Desktop
Inspiration CG620 MxGPU,,"9,106",,812,,,,Mar 2025,Desktop
GRID P4 4A,,"3,240",,51,,,,Mar 2025,Desktop
GRID P4 2A,,"3,307",,56,,,,Mar 2025,Desktop
GeForce RTX 5080 Laptop GPU,,"27,711",,"1,095",80,346.39,16384,Mar 2025,Mobile
GeForce RTX 5070,599.99,"29,137",48.56,"1,305",250,116.55,12288,Mar 2025,Desktop
RTX A2000 Embedded GPU,,"10,860",,431,,,,Feb 2025,Desktop
Radeon Ryzen 7 PRO 5755GE,,"2,117",,700,,,,Feb 2025,Desktop
Radeon Ryzen 3 PRO 5355GE,,"1,952",,700,,,,Feb 2025,Desktop
Radeon RX Vega 10 Ryzen 7 3700C,,"1,166",,312,,,,Feb 2025,Desktop
L4 6Q,,"4,473",,71,,,,Feb 2025,Desktop
L4 2Q,,"4,062",,62,,,,Feb 2025,Desktop
L4 1Q,,259,,84,,,,Feb 2025,Desktop
L2,,"5,467",,88,,,,Feb 2025,Desktop
Intel Arc 130T GPU,,"6,402",,854,,,,Feb 2025,Desktop
Horizon Indirect Display Driver,,84,,331,,,,Feb 2025,Desktop
GeForce RTX 5090 Laptop GPU,,"30,034",,"1,057",95,316.15,24576,Feb 2025,Mobile
GeForce RTX 5090 D,,"44,065",,"1,487",575,76.64,32768,Feb 2025,Desktop
GeForce RTX 5070 Ti,869.99,"32,974",37.90,"1,332",300,109.91,16384,Feb 2025,Desktop
GeForce GT 1010,,"1,208",,252,,,,Feb 2025,Unknown
Eng Sample: 100 000000562 40_Y,,"2,370",,768,,,,Feb 2025,Unknown
EIZO Quadro MED XN71,,"8,518",,583,,,,Feb 2025,Desktop
EIZO MED XN44,,"5,049",,821,,,,Feb 2025,Desktop
A16 1Q,,"3,276",,66,,,,Feb 2025,Desktop
A16 1B,,"2,220",,72,,,,Feb 2025,Desktop
6FDF:FF,,"9,529",,682,,,,Feb 2025,Desktop
VMware Horizon Indirect Display Driver,,"3,565",,376,,,,Jan 2025,Desktop
RTXA5000 8Q,,"4,916",,117,,,,Jan 2025,Desktop
Radeon Vega 3 Athlon Gold PRO 3150G,,837,,311,,,,Jan 2025,Desktop
Radeon Ryzen 5 PRO 4400G,,"2,277",,647,,,,Jan 2025,Desktop
Radeon RX 7800M,,"16,537",,869,,,,Jan 2025,Mobile
Moore Threads S3000 MTvGPU 1132,,"1,997",,315,,,,Jan 2025,Desktop
Intel Arc B570,,"14,195",,661,150,94.63,10240,Jan 2025,Desktop
GRID RTX6000 4Q,,509,,18,,,,Jan 2025,Desktop
GeForce RTX 5090,2639.99,"39,650",15.02,"1,413",575,68.96,32768,Jan 2025,Desktop
GeForce RTX 5080,1264.99,"36,565",28.91,"1,415",360,101.57,16384,Jan 2025,Desktop
Eng Sample: 100 000000561 40_Y,,"4,206",,749,,,,Jan 2025,Unknown
A40 2Q,,"2,960",,81,,,,Jan 2025,Desktop
VirtualMonitor Device,,"2,131",,485,,,,Dec 2024,Unknown
RTX 5000 Ada Generation Embedded GPU,,"20,312",,702,,,,Dec 2024,Desktop
RTX 3500 Ada Generation Embedded GPU,,"25,189",,"1,242",,,,Dec 2024,Desktop
RadeonT 680M Ryzen 7 6800H,,"2,381",,521,,,,Dec 2024,Mobile
RadeonT 660M Ryzen 5 6600H,,"4,257",,427,,,,Dec 2024,Mobile
Radeon Ryzen 5 3550H,,"1,620",,377,,,,Dec 2024,Desktop
Radeon RX 7500,,"1,873",,572,,,,Dec 2024,Desktop
Radeon Pro V620 MxGPU,,"15,633",,653,,,,Dec 2024,Desktop
Radeon 860M,,"4,808",,913,,,,Dec 2024,Mobile
Radeon 8060S,,"17,641",,"1,183",,,,Dec 2024,Desktop
Radeon 8050S,,"15,774",,"1,101",,,,Dec 2024,Desktop
